"Date","Time","Test Total Time",,
"01/18/25","12:04:47","(hh:mm:ss): 1:45:57",,
,,,,
"Rated Capacity","Tested Capacity","PASS",,,
"18.00 Ah","13.24 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","Lead Acid","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"7.500 Amps","AmpHrs",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Battery_Y","116.000","12.383","7.500","999.90"
"Battery_Y","117.000","12.387","7.500","999.90"
"Battery_Y","118.000","12.391","7.500","999.90"
"Battery_Y","119.000","12.391","7.500","999.90"
"Battery_Y","120.000","12.391","7.500","999.90"
"Battery_Y","121.000","12.391","7.500","999.90"
"Battery_Y","122.000","12.391","7.500","999.90"
"Battery_Y","123.000","12.391","7.500","999.90"
"Battery_Y","124.000","12.391","7.500","999.90"
"Battery_Y","125.000","12.391","7.500","999.90"
"Battery_Y","126.000","12.391","7.500","999.90"
"Battery_Y","127.000","12.391","7.500","999.90"
"Battery_Y","128.000","12.391","7.500","999.90"
"Battery_Y","129.000","12.391","7.500","999.90"
"Battery_Y","130.000","12.395","7.500","999.90"
"Battery_Y","131.000","12.395","7.500","999.90"
"Battery_Y","132.000","12.398","7.500","999.90"
"Battery_Y","133.000","12.398","7.500","999.90"
"Battery_Y","134.000","12.398","7.500","999.90"
"Battery_Y","135.000","12.398","7.500","999.90"
"Battery_Y","136.000","12.398","7.500","999.90"
"Battery_Y","137.000","12.398","7.500","999.90"
"Battery_Y","138.000","12.398","7.500","999.90"
"Battery_Y","139.000","12.398","7.500","999.90"
"Battery_Y","140.000","12.398","7.500","999.90"
"Battery_Y","141.000","12.398","7.500","999.90"
"Battery_Y","142.000","12.398","7.500","999.90"
"Battery_Y","143.000","12.398","7.500","999.90"
"Battery_Y","144.000","12.398","7.500","999.90"
"Battery_Y","145.000","12.402","7.500","999.90"
"Battery_Y","146.000","12.402","7.500","999.90"
"Battery_Y","147.000","12.406","7.500","999.90"
"Battery_Y","148.000","12.406","7.500","999.90"
"Battery_Y","149.000","12.406","7.500","999.90"
"Battery_Y","150.000","12.406","7.500","999.90"
"Battery_Y","151.000","12.406","7.500","999.90"
"Battery_Y","152.000","12.406","7.500","999.90"
"Battery_Y","153.000","12.406","7.500","999.90"
"Battery_Y","154.000","12.406","7.500","999.90"
"Battery_Y","155.000","12.406","7.500","999.90"
"Battery_Y","156.000","12.406","7.500","999.90"
"Battery_Y","157.000","12.406","7.500","999.90"
"Battery_Y","158.000","12.406","7.500","999.90"
"Battery_Y","159.000","12.406","7.500","999.90"
"Battery_Y","160.000","12.406","7.500","999.90"
"Battery_Y","161.000","12.406","7.500","999.90"
"Battery_Y","162.000","12.406","7.500","999.90"
"Battery_Y","163.000","12.406","7.500","999.90"
"Battery_Y","164.000","12.406","7.500","999.90"
"Battery_Y","165.000","12.410","7.500","999.90"
"Battery_Y","166.000","12.410","7.500","999.90"
"Battery_Y","167.000","12.414","7.500","999.90"
"Battery_Y","168.000","12.414","7.500","999.90"
"Battery_Y","169.000","12.414","7.500","999.90"
"Battery_Y","170.000","12.414","7.500","999.90"
"Battery_Y","171.000","12.414","7.500","999.90"
"Battery_Y","172.000","12.414","7.500","999.90"
"Battery_Y","173.000","12.414","7.500","999.90"
"Battery_Y","174.000","12.414","7.500","999.90"
"Battery_Y","175.000","12.414","7.500","999.90"
"Battery_Y","176.000","12.414","7.500","999.90"
"Battery_Y","177.000","12.414","7.500","999.90"
"Battery_Y","178.000","12.414","7.500","999.90"
"Battery_Y","179.000","12.414","7.500","999.90"
"Battery_Y","180.000","12.414","7.500","999.90"
"Battery_Y","181.000","12.414","7.500","999.90"
"Battery_Y","182.000","12.414","7.500","999.90"
"Battery_Y","183.000","12.414","7.500","999.90"
"Battery_Y","184.000","12.414","7.500","999.90"
"Battery_Y","185.000","12.414","7.500","999.90"
"Battery_Y","186.000","12.414","7.500","999.90"
"Battery_Y","187.000","12.414","7.500","999.90"
"Battery_Y","188.000","12.414","7.500","999.90"
"Battery_Y","189.000","12.418","7.500","999.90"
"Battery_Y","190.000","12.418","7.500","999.90"
"Battery_Y","191.000","12.418","7.500","999.90"
"Battery_Y","192.000","12.418","7.500","999.90"
"Battery_Y","193.000","12.422","7.500","999.90"
"Battery_Y","194.000","12.422","7.500","999.90"
"Battery_Y","195.000","12.422","7.500","999.90"
"Battery_Y","196.000","12.422","7.500","999.90"
"Battery_Y","197.000","12.422","7.500","999.90"
"Battery_Y","198.000","12.422","7.500","999.90"
"Battery_Y","199.000","12.422","7.500","999.90"
"Battery_Y","200.000","12.422","7.500","999.90"
"Battery_Y","201.000","12.422","7.500","999.90"
"Battery_Y","202.000","12.422","7.500","999.90"
"Battery_Y","203.000","12.422","7.500","999.90"
"Battery_Y","204.000","12.422","7.500","999.90"
"Battery_Y","205.000","12.422","7.500","999.90"
"Battery_Y","206.000","12.422","7.500","999.90"
"Battery_Y","207.000","12.422","7.500","999.90"
"Battery_Y","208.000","12.422","7.500","999.90"
"Battery_Y","209.000","12.422","7.500","999.90"
"Battery_Y","210.000","12.422","7.500","999.90"
"Battery_Y","211.000","12.422","7.500","999.90"
"Battery_Y","212.000","12.422","7.500","999.90"
"Battery_Y","213.000","12.422","7.500","999.90"
"Battery_Y","214.000","12.422","7.500","999.90"
"Battery_Y","215.000","12.422","7.500","999.90"
"Battery_Y","216.000","12.422","7.500","999.90"
"Battery_Y","217.000","12.422","7.500","999.90"
"Battery_Y","218.000","12.422","7.500","999.90"
"Battery_Y","219.000","12.422","7.500","999.90"
"Battery_Y","220.000","12.422","7.500","999.90"
"Battery_Y","221.000","12.422","7.500","999.90"
"Battery_Y","222.000","12.422","7.500","999.90"
"Battery_Y","223.000","12.426","7.500","999.90"
"Battery_Y","224.000","12.426","7.500","999.90"
"Battery_Y","225.000","12.426","7.500","999.90"
"Battery_Y","226.000","12.430","7.500","999.90"
"Battery_Y","227.000","12.430","7.500","999.90"
"Battery_Y","228.000","12.430","7.500","999.90"
"Battery_Y","229.000","12.430","7.500","999.90"
"Battery_Y","230.000","12.430","7.500","999.90"
"Battery_Y","231.000","12.430","7.500","999.90"
"Battery_Y","232.000","12.430","7.500","999.90"
"Battery_Y","233.000","12.430","7.500","999.90"
"Battery_Y","234.000","12.430","7.500","999.90"
"Battery_Y","235.000","12.430","7.500","999.90"
"Battery_Y","236.000","12.430","7.500","999.90"
"Battery_Y","237.000","12.430","7.500","999.90"
"Battery_Y","238.000","12.430","7.500","999.90"
"Battery_Y","239.000","12.430","7.500","999.90"
"Battery_Y","240.000","12.430","7.500","999.90"
"Battery_Y","241.000","12.422","7.500","999.90"
"Battery_Y","242.000","12.430","7.500","999.90"
"Battery_Y","243.000","12.430","7.500","999.90"
"Battery_Y","244.000","12.430","7.500","999.90"
"Battery_Y","245.000","12.430","7.500","999.90"
"Battery_Y","246.000","12.430","7.500","999.90"
"Battery_Y","247.000","12.430","7.500","999.90"
"Battery_Y","248.000","12.430","7.500","999.90"
"Battery_Y","249.000","12.430","7.500","999.90"
"Battery_Y","250.000","12.430","7.500","999.90"
"Battery_Y","251.000","12.430","7.500","999.90"
"Battery_Y","252.000","12.430","7.500","999.90"
"Battery_Y","253.000","12.430","7.500","999.90"
"Battery_Y","254.000","12.430","7.500","999.90"
"Battery_Y","255.000","12.430","7.500","999.90"
"Battery_Y","256.000","12.430","7.500","999.90"
"Battery_Y","257.000","12.430","7.500","999.90"
"Battery_Y","258.000","12.430","7.500","999.90"
"Battery_Y","259.000","12.430","7.500","999.90"
